id,countryname,exports,imports,independence,militaryexpenditure,netmigration,area,internetusers,labourforce,population,agriproducts,areacomparative,background,capital,climate,economy,governmenttype,memberof,countrycode,nationality,coordinates
45,Cape Verde,$ 99 000 000,$ 866 000 000,19750705,0.7,-11.67,4033,37000,196100,429474,bananas corn beans sweet potatoes sugarcane coffee peanuts; fish,slightly larger than Rhode Island,The uninhabited islands were discovered and colonized by the Portuguese in the 15th century; Cape Verde subsequently became a trading center for African slaves and later an important coaling and resupply stop for whaling and transatlantic shipping. Following independence in 1975 and a tentative interest in unification with Guinea-Bissau a one-party system was established and maintained until multi-party elections were held in 1990. Cape Verde continues to exhibit one of Africa's most stable democratic governments. Repeated droughts during the second half of the 20th century caused significant hardship and prompted heavy emigration. As a result Cape Verde's expatriate population is greater than its domestic one. Most Cape Verdeans have both African and Portuguese antecedents.,name: Praia geographic coordinates: 14 55 N 23 31 W time difference: UTC-1 (4 hours ahead of Washington DC during Standard Time),temperate; warm dry summer; precipitation meager and very erratic,This island economy suffers from a poor natural resource base including serious water shortages exacerbated by cycles of long-term drought. The economy is service-oriented with commerce transport tourism and public services accounting for about three-fourths of GDP. Although nearly 70% of the population lives in rural areas the share of food production in GDP is low. About 82% of food must be imported. The fishing potential mostly lobster and tuna is not fully exploited. Cape Verde annually runs a high trade deficit financed by foreign aid and remittances from emigrants; remittances supplement GDP by more than 20%. Economic reforms are aimed at developing the private sector and attracting foreign investment to diversify the economy. Future prospects depend heavily on the maintenance of aid flows the encouragement of tourism remittances and the momentum of the government's development program. Cape Verde became a member of the WTO in July 2008.,republic,ACCT ACP AfDB AU CPLP ECOWAS FAO G-77 IBRD ICAO ICCt (signatory) ICRM IDA IFAD IFC IFRCS ILO IMF IMO Interpol IOC IOM IPU ITSO ITU ITUC MIGA NAM OIF OPCW UN UNCTAD UNESCO UNIDO Union Latina UNWTO UPU WCO WFTU WHO WIPO WMO WTO,cv,noun: Cape Verdean(s) adjective: Cape Verdean,16 00 N 24 00 W
46,Cayman Islands,$ 2 520 000,$ 866 900 000,,,16.48,264,22000,23450,49035,vegetables fruit; livestock; turtle farming,1.5 times the size of Washington DC,The Cayman Islands were colonized from Jamaica by the British during the 18th and 19th centuries and were administered by Jamaica after 1863. In 1959 the islands became a territory within the Federation of the West Indies. When the Federation dissolved in 1962 the Cayman Islands chose to remain a British dependency.,name: George Town (on Grand Cayman) geographic coordinates: 19 18 N 81 23 W time difference: UTC-5 (same time as Washington DC during Standard Time),tropical marine; warm rainy summers (May to October) and cool relatively dry winters (November to April),With no direct taxation the islands are a thriving offshore financial center. More than 68 000 companies were registered in the Cayman Islands as of 2003 including almost 500 banks 800 insurers and 5 000 mutual funds. A stock exchange was opened in 1997. Tourism is also a mainstay accounting for about 70% of GDP and 75% of foreign currency earnings. The tourist industry is aimed at the luxury market and caters mainly to visitors from North America. Total tourist arrivals exceeded 2.1 million in 2003 with about half from the US. About 90% of the islands' food and consumer goods must be imported. The Caymanians enjoy one of the highest outputs per capita and one of the highest standards of living in the world.,British crown colony,Caricom (associate) CDB Interpol (subbureau) IOC UNESCO (associate) UPU WFTU,ky,noun: Caymanian(s) adjective: Caymanian,19 30 N 80 30 W
47,Central African Republic,$ 146 700 000,$ 237 300 000,19600813,1.1,,622984,13000,1926000,4511488,timber cotton coffee tobacco manioc (tapioca) yams millet corn bananas; timber,slightly smaller than Texas,The former French colony of Ubangi-Shari became the Central African Republic upon independence in 1960. After three tumultuous decades of misrule - mostly by military governments - civilian rule was established in 1993 and lasted for one decade. President Ange-Felix PATASSE's civilian government was plagued by unrest and in March 2003 he was deposed in a military coup led by General Francois BOZIZE who established a transitional government. Though the government has the tacit support of civil society groups and the main parties a wide field of candidates contested the municipal legislative and presidential elections held in March and May of 2005 in which General BOZIZE was affirmed as president. The government still does not fully control the countryside where pockets of lawlessness persist. Unrest in neighboring nations Chad Sudan and the DRC continues to affect stability in the Central African Republic as well.,name: Bangui geographic coordinates: 4 22 N 18 35 E time difference: UTC+1 (6 hours ahead of Washington DC during Standard Time),tropical; hot dry winters; mild to hot wet summers,Subsistence agriculture together with forestry remains the backbone of the economy of the Central African Republic (CAR) with more than 70% of the population living in outlying areas. The agricultural sector generates more than half of GDP. Timber has accounted for about 16% of export earnings and the diamond industry for 40%. Important constraints to economic development include the CAR's landlocked position a poor transportation system a largely unskilled work force and a legacy of misdirected macroeconomic policies. Factional fighting between the government and its opponents remains a drag on economic revitalization. Distribution of income is extraordinarily unequal. Grants from France and the international community can only partially meet humanitarian needs.,republic,ACCT ACP AfDB AU BDEAC CEMAC FAO FZ G-77 IAEA IBRD ICAO ICCt ICRM IDA IFAD IFC IFRCS ILO IMF Interpol IOC ITSO ITU ITUC MIGA NAM OIC (observer) OIF OPCW UN UNCTAD UNESCO UNIDO UNWTO UPU WCL WCO WFTU WHO WIPO WMO WTO,cf,noun: Central African(s) adjective: Central African,7 00 N 21 00 E
48,Chad,$ 4 502 000 000,$ 1 862 000 000,19600811,4.2,-4.08,1284000,60000,4293000,10329208,cotton sorghum millet peanuts rice potatoes manioc (tapioca); cattle sheep goats camels,slightly more than three times the size of California,Chad part of France's African holdings until 1960 endured three decades of civil warfare as well as invasions by Libya before a semblance of peace was finally restored in 1990. The government eventually drafted a democratic constitution and held flawed presidential elections in 1996 and 2001. In 1998 a rebellion broke out in northern Chad which has sporadically flared up despite several peace agreements between the government and the rebels. In 2005 new rebel groups emerged in western Sudan and made probing attacks into eastern Chad despite signing peace agreements in December 2006 and October 2007. Power remains in the hands of an ethnic minority. In June 2005 President Idriss DEBY held a referendum successfully removing constitutional term limits and won another controversial election in 2006. Sporadic rebel campaigns continued throughout 2006 and 2007 and the capital experienced a significant rebel threat in early 2008.,name: N'Djamena geographic coordinates: 12 06 N 15 02 E time difference: UTC+1 (6 hours ahead of Washington DC during Standard Time),tropical in south desert in north,Chad's primarily agricultural economy will continue to be boosted by major foreign direct investment projects in the oil sector that began in 2000. At least 80% of Chad's population relies on subsistence farming and livestock raising for its livelihood. Chad's economy has long been handicapped by its landlocked position high energy costs and a history of instability. Chad relies on foreign assistance and foreign capital for most public and private sector investment projects. A consortium led by two US companies has been investing $3.7 billion to develop oil reserves - estimated at 1 billion barrels - in southern Chad. Chinese companies are also expanding exploration efforts and plan to build a refinery. The nation's total oil reserves are estimated at 1.5 billion barrels. Oil production came on stream in late 2003. Chad began to export oil in 2004. Cotton cattle and gum arabic provide the bulk of Chad's non-oil export earnings.,republic,ACCT ACP AfDB AU BDEAC CEMAC FAO FZ G-77 IAEA IBRD ICAO ICCt ICRM IDA IDB IFAD IFC IFRCS ILO IMF Interpol IOC ITSO ITU ITUC MIGA NAM OIC OIF OPCW UN UNCTAD UNESCO UNIDO UNOCI UNWTO UPU WCL WCO WFTU WHO WIPO WMO WTO,td,noun: Chadian(s) adjective: Chadian,15 00 N 19 00 E
49,Chile,$ 66 460 000 000,$ 57 610 000 000,18100918,2.7,,756102,5570000,7267000,16601707,grapes apples pears onions wheat corn oats peaches garlic asparagus beans; beef poultry wool; fish; timber,slightly smaller than twice the size of Montana,Prior to the coming of the Spanish in the 16th century northern Chile was under Inca rule while the indigenous Mapuche inhabited central and southern Chile. Although Chile declared its independence in 1810 decisive victory over the Spanish was not achieved until 1818. In the War of the Pacific (1879-83) Chile defeated Peru and Bolivia and won its present northern regions. It was not until the 1880s that the Mapuche Indians were completely subjugated. After a series of elected governments a three-year-old Marxist government of Salvador ALLENDE was overthrown in 1973 by a military coup led by Augusto PINOCHET who ruled until a freely elected president was installed in 1990. Sound economic policies maintained consistently since the 1980s have contributed to steady growth reduced poverty rates by over half and have helped secure the country's commitment to democratic and representative government. Chile has increasingly assumed regional and international leadership roles befitting its status as a stable democratic nation.,name: Santiago geographic coordinates: 33 27 S 70 40 W time difference: UTC-4 (1 hour ahead of Washington DC during Standard Time) daylight saving time: +1hr begins second Sunday in October; ends second Sunday in March,temperate; desert in north; Mediterranean in central region; cool and damp in south,Chile has a market-oriented economy characterized by a high level of foreign trade and a reputation for strong financial institutions and sound policy that have given it the strongest sovereign bond rating in South America. Exports account for 40% of GDP with commodities making up some three-quarters of total exports. Copper alone provides one-third of government revenue. During the early 1990s Chile's reputation as a role model for economic reform was strengthened when the democratic government of Patricio AYLWIN - which took over from the military in 1990 - deepened the economic reform initiated by the military government. Growth in real GDP averaged 8% during 1991-97 but fell to half that level in 1998 because of tight monetary policies implemented to keep the current account deficit in check and because of lower export earnings - the latter a product of the global financial crisis. A severe drought exacerbated the situation in 1999 reducing crop yields and causing hydroelectric shortfalls and electricity rationing and Chile experienced negative economic growth for the first time in more than 15 years. In the years since then growth has averaged 4% per year. Chile deepened its longstanding commitment to trade liberalization with the signing of a free trade agreement with the US which took effect on 1 January 2004. Chile claims to have more bilateral or regional trade agreements than any other country. It has 57 such agreements (not all of them full free trade agreements) including with the European Union Mercosur China India South Korea and Mexico. Over the past five years foreign direct investment inflows have quadrupled to some $17 billion in 2008. The Chilean government conducts a rule-based countercyclical fiscal policy accumulating surpluses in sovereign wealth funds during periods of high copper prices and economic growth and allowing deficit spending only during periods of low copper prices and growth. As of September 2008 those sovereign wealth funds - kept mostly outside the country and separate from Central Bank reserves - amounted to more than $20 billion.,republic,APEC BIS CAN (associate) FAO G-15 G-77 IADB IAEA IBRD ICAO ICC ICCt (signatory) ICRM IDA IFAD IFC IFRCS IHO ILO IMF IMO IMSO Interpol IOC IOM IPU ISO ITSO ITU ITUC LAES LAIA Mercosur (associate) MIGA MINUSTAH NAM OAS OECD (accession state) OPANAL OPCW PCA RG SICA (observer) UN UNASUR UNCTAD UNESCO UNHCR UNIDO Union Latina UNMOGIP UNTSO UNWTO UPU WCL WCO WFTU WHO WIPO WMO WTO,cl,noun: Chilean(s) adjective: Chilean,30 00 S 71 00 W
50,China,$ 1 435 000 000 000,$ 1 074 000 000 000,19491001,4.3,-0.39,9596961,253000000,807300000,1338612968,rice wheat potatoes corn peanuts tea millet barley apples cotton oilseed; pork; fish,slightly smaller than the US,For centuries China stood as a leading civilization outpacing the rest of the world in the arts and sciences but in the 19th and early 20th centuries the country was beset by civil unrest major famines military defeats and foreign occupation. After World War II the Communists under MAO Zedong established an autocratic socialist system that while ensuring China's sovereignty imposed strict controls over everyday life and cost the lives of tens of millions of people. After 1978 MAO's successor DENG Xiaoping and other leaders focused on market-oriented economic development and by 2000 output had quadrupled. For much of the population living standards have improved dramatically and the room for personal choice has expanded yet political controls remain tight.,"name: Beijing geographic coordinates: 39 55 N 116 23 E time difference: UTC+8 (13 hours ahead of Washington DC during Standard Time) note: despite its size all of China falls within one time zone; many people in Xinjiang Province observe an unofficial ""Xinjiang timezone"" of UTC+6 two hours behind Beijing",extremely diverse; tropical in south to subarctic in north,"China's economy during the past 30 years has changed from a centrally planned system that was largely closed to international trade to a more market-oriented economy that has a rapidly growing private sector and is a major player in the global economy. Reforms started in the late 1970s with the phasing out of collectivized agriculture and expanded to include the gradual liberalization of prices fiscal decentralization increased autonomy for state enterprises the foundation of a diversified banking system the development of stock markets the rapid growth of the non-state sector and the opening to foreign trade and investment. Annual inflows of foreign direct investment rose to nearly $84 billion in 2007. China has generally implemented reforms in a gradualist or piecemeal fashion. In recent years China has re-invigorated its support for leading state-owned enterprises in sectors it considers important to ""economic security "" explicitly looking to foster globally competitive national champions. After keeping its currency tightly linked to the US dollar for years China in July 2005 revalued its currency by 2.1% against the US dollar and moved to an exchange rate system that references a basket of currencies. Cumulative appreciation of the renminbi against the US dollar since the end of the dollar peg was more than 20% by late 2008 but the exchange rate has changed little since the onset of the global financial crisis. The restructuring of the economy and resulting efficiency gains have contributed to a more than tenfold increase in GDP since 1978. Measured on a purchasing power parity (PPP) basis that adjusts for price differences China in 2008 stood as the second-largest economy in the world after the US although in per capita terms the country is still lower middle-income. The Chinese government faces numerous economic development challenges including: (a) strengthening its social safety net including pension and health system reform to counteract a high domestic savings rate and correspondingly low domestic demand; (b) sustaining adequate job growth for tens of millions of migrants new entrants to the work force and workers laid off from state-owned enterprises deemed not worth saving; (c) reducing corruption and other economic crimes; and (d) containing environmental damage and social strife related to the economy's rapid transformation. Economic development has been more rapid in coastal provinces than in the interior and approximately 200 million rural laborers and their dependents have relocated to urban areas to find work. One demographic consequence of the ""one child"" policy is that China is now one of the most rapidly aging countries in the world. Deterioration in the environment - notably air pollution soil erosion and the steady fall of the water table especially in the north - is another long-term problem. China continues to lose arable land because of erosion and economic development. In 2007 China intensified government efforts to improve environmental conditions tying the evaluation of local officials to environmental targets publishing a national climate change policy and establishing a high level leading group on climate change headed by Premier WEN Jiabao. The Chinese government seeks to add energy production capacity from sources other than coal and oil. In late 2008 as China commemorated the 30th anniversary of its historic economic reforms the global economic downturn began to slow foreign demand for Chinese exports for the first time in many years. The government vowed to continue reforming the economy and emphasized the need to increase domestic consumption in order to make China less dependent on foreign exports for GDP growth in the future.",Communist state,ADB AfDB (nonregional member) APEC APT Arctic Council (observer) ARF ASEAN (dialogue partner) BIS CDB EAS FAO G-20 G-24 (observer) G-77 IAEA IBRD ICAO ICC ICRM IDA IFAD IFC IFRCS IHO ILO IMF IMO IMSO Interpol IOC IOM (observer) IPU ISO ITSO ITU LAIA (observer) MIGA MINURSO MONUC NAM (observer) NSG OAS (observer) OPCW PCA PIF (partner) SAARC (observer) SCO SICA (observer) UN UN Security Council UNAMID UNCTAD UNESCO UNHCR UNIDO UNIFIL UNITAR UNMIL UNMIS UNMIT UNOCI UNTSO UNWTO UPU WCO WFTU WHO WIPO WMO WTO ZC,cn,noun: Chinese (singular and plural) adjective: Chinese,35 00 N 105 00 E
51,Christmas Island,,,,,,135,464,,1402,,about three-quarters the size of Washington DC,Named in 1643 for the day of its discovery the island was annexed and settlement began by the UK in 1888. Phosphate mining began in the 1890s. The UK transferred sovereignty to Australia in 1958. Almost two-thirds of the island has been declared a national park.,name: The Settlement geographic coordinates: 10 25 S 105 43 E time difference: UTC+7 (12 hours ahead of Washington DC during Standard Time),tropical with a wet season (December to April) and dry season; heat and humidity moderated by trade winds,Phosphate mining had been the only significant economic activity but in December 1987 the Australian government closed the mine. In 1991 the mine was reopened. With the support of the government a $34 million casino opened in 1993 but closed in 1998. The Australian government in 2001 agreed to support the creation of a commercial space-launching site on the island expected to begin operations in the near future.,,none,cx,noun: Christmas Islander(s) adjective: Christmas Island,10 30 S 105 40 E
52,Clipperton Island,,,,,,6,,,,,about 12 times the size of The Mall in Washington DC,This isolated island was named for John CLIPPERTON a pirate who made it his hideout early in the 18th century. Annexed by France in 1855 it was seized by Mexico in 1897. Arbitration eventually awarded the island to France which took possession in 1935.,,tropical; humid average temperature 20-32 degrees C wet season (May to October),Although 115 species of fish have been identified in the territorial waters of Clipperton Island the only economic activity is tuna fishing.,,,,,10 17 N 109 13 W
53,Cocos (Keeling) Islands,,,,,,14,,,596,vegetables bananas pawpaws coconuts,about 24 times the size of The Mall in Washington DC,There are 27 coral islands in the group. Captain William KEELING discovered the islands in 1609 but they remained uninhabited until the 19th century. From the 1820s to 1978 members of the CLUNIE-ROSS family controlled the islands and the copra produced from local coconuts. Annexed by the UK in 1857 the Cocos Islands were transferred to the Australian Government in 1955. The population on the two inhabited islands generally is split between the ethnic Europeans on West Island and the ethnic Malays on Home Island.,name: West Island geographic coordinates: 12 10 S 96 50 E time difference: UTC+6.5 (11.5 hours ahead of Washington DC during Standard Time),tropical with high humidity moderated by the southeast trade winds for about nine months of the year,Grown throughout the islands coconuts are the sole cash crop. Small local gardens and fishing contribute to the food supply but additional food and most other necessities must be imported from Australia. There is a small tourist industry.,,none,cc,noun: Cocos Islander(s) adjective: Cocos Islander,12 30 S 96 50 E
54,Colombia,$ 38 550 000 000,$ 37 560 000 000,18100720,3.4,-0.26,1138914,12100000,21300000,45644023,coffee cut flowers bananas rice tobacco corn sugarcane cocoa beans oilseed vegetables; forest products; shrimp,slightly less than twice the size of Texas,Colombia was one of the three countries that emerged from the collapse of Gran Colombia in 1830 (the others are Ecuador and Venezuela). A four-decade long conflict between government forces and anti-government insurgent groups principally the Revolutionary Armed Forces of Colombia (FARC) heavily funded by the drug trade escalated during the 1990s. The insurgents lack the military or popular support necessary to overthrow the government and violence has been decreasing since about 2002 but insurgents continue attacks against civilians and large areas of the countryside are under guerrilla influence or are contested by security forces. More than 31 000 former paramilitaries had demobilized by the end of 2006 and the United Self Defense Forces of Colombia (AUC) as a formal organization had ceased to function. In the wake of the paramilitary demobilization emerging criminal groups arose whose members include some former paramilitaries. The Colombian Government has stepped up efforts to reassert government control throughout the country and now has a presence in every one of its administrative departments. However neighboring countries worry about the violence spilling over their borders.,name: Bogota geographic coordinates: 4 36 N 74 05 W time difference: UTC-5 (same time as Washington DC during Standard Time),tropical along coast and eastern plains; cooler in highlands,Colombia has experienced accelerating growth between 2002 and 2007 with expansion above 7% in 2007 chiefly due to advancements in domestic security to rising commodity prices and to President URIBE's promarket economic policies. Colombia's sustained growth helped reduce poverty by 20% and cut unemployment by 25% since 2002. Additionally investor friendly reforms to Colombia's hydrocarbon sector and the US-Colombia Trade Promotion Agreement (CTPA) negotiations have attracted record levels of foreign investment. Inequality underemployment and narcotrafficking remain significant challenges and Colombia's infrastructure requires significant updating in order to sustain expansion. Economic growth slipped in 2008 as a result of the global financial crisis and weakening demand for Colombia's exports. In response URIBE's administration has cut capital controls arranged for emergency credit lines from multilateral institutions and promoted investment incentives such as Colombia's modernized free trade zone mechanism legal stability contracts and new bilateral investment treaties and trade agreements. The government has also encouraged exporters to diversify their customer base away from the United States and Venezuela Colombia's largest trading partners. Nevertheless the business sector continues to be concerned about the impact of a global recession on Colombia's exports as well as the approval of the CTPA which is stalled in the US Congress.,republic; executive branch dominates government structure,BCIE CAN Caricom (observer) CDB FAO G-3 G-24 G-77 IADB IAEA IBRD ICAO ICC ICCt ICRM IDA IFAD IFC IFRCS IHO ILO IMF IMO IMSO Interpol IOC IOM IPU ISO ITSO ITU ITUC LAES LAIA Mercosur (associate) MIGA NAM OAS OPANAL OPCW PCA RG UN UNASUR UNCTAD UNESCO UNHCR UNIDO Union Latina UNWTO UPU WCL WCO WFTU WHO WIPO WMO WTO,co,noun: Colombian(s) adjective: Colombian,4 00 N 72 00 W
55,Comoros,$ 32 000 000,$ 143 000 000,19750706,2.8,,2235,21000,268500,752438,vanilla cloves ylang-ylang perfume essences copra coconuts bananas cassava (tapioca),slightly more than 12 times the size of Washington DC,Comoros has endured more than 20 coups or attempted coups since gaining independence from France in 1975. In 1997 the islands of Anjouan and Moheli declared independence from Comoros. In 1999 military chief Col. AZALI seized power in a bloodless coup and helped negotiate the 2000 Fomboni Accords power-sharing agreement in which the federal presidency rotates among the three islands and each island maintains its own local government. AZALI won the 2002 Presidential election and each island in the archipelago elected its own president. AZALI stepped down in 2006 and President SAMBI was elected to office. In 2007 BACAR effected Anjouan's de-facto secession from the Union refusing to step down in favor of fresh Anjouanais elections when Comoros' other islands held legitimate elections in July. The African Union (AU) initially attempted to resolve the political crisis by applying sanctions and a naval blockade on Anjouan but in March 2008 AU and Comoran soldiers seized the island. The move was generally welcomed by the island's inhabitants.,name: Moroni geographic coordinates: 11 42 S 43 14 E time difference: UTC+3 (8 hours ahead of Washington DC during Standard Time),tropical marine; rainy season (November to May),One of the world's poorest countries Comoros is made up of three islands that have inadequate transportation links a young and rapidly increasing population and few natural resources. The low educational level of the labor force contributes to a subsistence level of economic activity high unemployment and a heavy dependence on foreign grants and technical assistance. Agriculture including fishing hunting and forestry contributes 40% to GDP employs 80% of the labor force and provides most of the exports. The country is not self-sufficient in food production; rice the main staple accounts for the bulk of imports. The government - which is hampered by internal political disputes - is struggling to upgrade education and technical training privatize commercial and industrial enterprises improve health services diversify exports promote tourism and reduce the high population growth rate. The political problems have inhibited growth which has averaged only about 1% in 2006-08. Remittances from 150 000 Comorans abroad help supplement GDP.,republic,ACCT ACP AfDB AMF AU COMESA FAO FZ G-77 IBRD ICAO ICCt ICRM IDA IDB IFAD IFC IFRCS ILO IMF IMO IMSO InOC Interpol IOC IPU ITSO ITU ITUC LAS NAM OIC OIF OPCW UN UNCTAD UNESCO UNIDO UPU WCO WFTU WHO WIPO WMO WTO (observer),km,noun: Comoran(s) adjective: Comoran,12 10 S 44 15 E
56,Congo Democratic Republic of the,$ 6 100 000 000,$ 5 200 000 000,19600630,2.5,1.07,2344858,230400,23530000,68692542,coffee sugar palm oil rubber tea quinine cassava (tapioca) palm oil bananas root crops corn fruits; wood products,slightly less than one-fourth the size of the US,Established as a Belgian colony in 1908 the Republic of the Congo gained its independence in 1960 but its early years were marred by political and social instability. Col. Joseph MOBUTU seized power and declared himself president in a November 1965 coup. He subsequently changed his name - to MOBUTU Sese Seko - as well as that of the country - to Zaire. MOBUTU retained his position for 32 years through several sham elections as well as through the use of brutal force. Ethnic strife and civil war touched off by a massive inflow of refugees in 1994 from fighting in Rwanda and Burundi led in May 1997 to the toppling of the MOBUTU regime by a rebellion backed by Rwanda and Uganda and fronted by Laurent KABILA. He renamed the country the Democratic Republic of the Congo (DRC) but in August 1998 his regime was itself challenged by a second insurrection again backed by Rwanda and Uganda. Troops from Angola Chad Namibia Sudan and Zimbabwe intervened to support KABILA's regime. A cease-fire was signed in July 1999 by the DRC Congolese armed rebel groups Angola Namibia Rwanda Uganda and Zimbabwe but sporadic fighting continued. Laurent KABILA was assassinated in January 2001 and his son Joseph KABILA was named head of state. In October 2002 the new president was successful in negotiating the withdrawal of Rwandan forces occupying eastern Congo; two months later the Pretoria Accord was signed by all remaining warring parties to end the fighting and establish a government of national unity. A transitional government was set up in July 2003. Joseph KABILA as president and four vice presidents represented the former government former rebel groups the political opposition and civil society. The transitional government held a successful constitutional referendum in December 2005 and elections for the presidency National Assembly and provincial legislatures in 2006. KABILA was inaugurated president in December 2006. The National Assembly was installed in September 2006. Its president Vital KAMERHE was chosen in December. Provincial assemblies were constituted in early 2007 and elected governors and national senators in January 2007.,name: Kinshasa geographic coordinates: 4 19 S 15 18 E time difference: UTC+1 (six hours ahead of Washington DC during Standard Time),tropical; hot and humid in equatorial river basin; cooler and drier in southern highlands; cooler and wetter in eastern highlands; north of Equator - wet season (April to October) dry season (December to February); south of Equator - wet season (November to March) dry season (April to October),The economy of the Democratic Republic of the Congo - a nation endowed with vast potential wealth - is slowly recovering from two decades of decline. Conflict that began in August 1998 has dramatically reduced national output and government revenue increased external debt and resulted in the deaths of more than 5 million people from violence famine and disease. Foreign businesses curtailed operations due to uncertainty about the outcome of the conflict lack of infrastructure and the difficult operating environment. Conditions began to improve in late 2002 with the withdrawal of a large portion of the invading foreign troops. The transitional government reopened relations with international financial institutions and international donors and President KABILA began implementing reforms although progress has been slow and the International Monetary Fund curtailed their program for the DRC at the end of March 2006 because of fiscal overruns. Much economic activity still occurs in the informal sector and is not reflected in GDP data. Renewed activity in the mining sector the source of most export income boosted Kinshasa's fiscal position and GDP growth from 2006-2008 however renewed strife in the second half of 2008 combined with a fall in world market prices for the DRC's key mineral exports inflicted major damage on the economy and halted growth. Government reforms may lead to increased government revenues outside budget assistance and foreign direct investment although an uncertain legal framework corruption a lack of transparency in government policy are long-term problems. The DRC government has applied to the IMF for an Exogenous Shock Facility in the amount of $200 million to help it deal with its deteriorating financial situation and the World Bank will consider a separate $100 million in emergency funding. The global recession probably will cut economic growth in 2009 to half its 2008 level.,republic,ACCT ACP AfDB AU CEPGL COMESA FAO G-24 G-77 IAEA IBRD ICAO ICCt ICRM IDA IFAD IFC IFRCS IHO (suspended) ILO IMF IMO Interpol IOC IOM IPU ISO ITSO ITU ITUC MIGA NAM OIF OPCW PCA SADC UN UNCTAD UNESCO UNHCR UNIDO UNWTO UPU WCL WCO WFTU WHO WIPO WMO WTO,cd,noun: Congolese (singular and plural) adjective: Congolese or Congo,0 00 N 25 00 E
57,Congo Republic of the,$ 10 850 000 000,$ 2 988 000 000,19600815,3.1,-1.82,342000,70000,,4012809,cassava (tapioca) sugar rice corn peanuts vegetables coffee cocoa; forest products,slightly smaller than Montana,Upon independence in 1960 the former French region of Middle Congo became the Republic of the Congo. A quarter century of experimentation with Marxism was abandoned in 1990 and a democratically elected government took office in 1992. A brief civil war in 1997 restored former Marxist President Denis SASSOU-NGUESSO and ushered in a period of ethnic and political unrest. Southern-based rebel groups agreed to a final peace accord in March 2003 but the calm is tenuous and refugees continue to present a humanitarian crisis. The Republic of Congo was once one of Africa's largest petroleum producers but with declining production it will need new offshore oil finds to sustain its oil earnings over the long term.,name: Brazzaville geographic coordinates: 4 15 S 15 17 E time difference: UTC+1 (six hours ahead of Washington DC during Standard Time),tropical; rainy season (March to June); dry season (June to October); persistent high temperatures and humidity; particularly enervating climate astride the Equator,The economy is a mixture of subsistence agriculture an industrial sector based largely on oil and support services and a government characterized by budget problems and overstaffing. Oil has supplanted forestry as the mainstay of the economy providing a major share of government revenues and exports. In the early 1980s rapidly rising oil revenues enabled the government to finance large-scale development projects with GDP growth averaging 5% annually one of the highest rates in Africa. The government has mortgaged a substantial portion of its oil earnings through oil-backed loans that have contributed to a growing debt burden and chronic revenue shortfalls. Economic reform efforts have been undertaken with the support of international organizations notably the World Bank and the IMF. However the reform program came to a halt in June 1997 when civil war erupted. Denis SASSOU-NGUESSO who returned to power when the war ended in October 1997 publicly expressed interest in moving forward on economic reforms and privatization and in renewing cooperation with international financial institutions. Economic progress was badly hurt by slumping oil prices and the resumption of armed conflict in December 1998 which worsened the republic's budget deficit. The current administration presides over an uneasy internal peace and faces difficult economic challenges of stimulating recovery and reducing poverty. Recovery of oil prices has boosted the economy's GDP and near-term prospects. In March 2006 the World Bank and the International Monetary Fund (IMF) approved Heavily Indebted Poor Countries (HIPC) treatment for Congo.,republic,ACCT ACP AfDB AU BDEAC CEMAC FAO FZ G-77 IBRD ICAO ICCt ICRM IDA IFAD IFC IFRCS ILO IMF IMO Interpol IOC IOM IPU ITSO ITU ITUC MIGA NAM OIF OPCW UN UNCTAD UNESCO UNIDO UNITAR UNWTO UPU WCL WCO WFTU WHO WIPO WMO WTO,cg,noun: Congolese (singular and plural) adjective: Congolese or Congo,1 00 S 15 00 E
58,Cook Islands,$ 5 222 000,$ 81 040 000,,,,236,3600,6820,11870,copra citrus pineapples tomatoes beans pawpaws bananas yams taro coffee; pigs poultry,1.3 times the size of Washington DC,Named after Captain COOK who sighted them in 1770 the islands became a British protectorate in 1888. By 1900 administrative control was transferred to New Zealand; in 1965 residents chose self-government in free association with New Zealand. The emigration of skilled workers to New Zealand and government deficits are continuing problems.,name: Avarua geographic coordinates: 21 12 S 159 46 W time difference: UTC-10 (5 hours behind Washington DC during Standard Time),tropical oceanic; moderated by trade winds; a dry season from April to November and a more humid season from December to March,Like many other South Pacific island nations the Cook Islands' economic development is hindered by the isolation of the country from foreign markets the limited size of domestic markets lack of natural resources periodic devastation from natural disasters and inadequate infrastructure. Agriculture employing more than one-quarter of the working population provides the economic base with major exports made up of copra and citrus fruit. Black pearls are the Cook Islands' leading export. Manufacturing activities are limited to fruit processing clothing and handicrafts. Trade deficits are offset by remittances from emigrants and by foreign aid overwhelmingly from New Zealand. In the 1980s and 1990s the country lived beyond its means maintaining a bloated public service and accumulating a large foreign debt. Subsequent reforms including the sale of state assets the strengthening of economic management the encouragement of tourism and a debt restructuring agreement have rekindled investment and growth.,self-governing parliamentary democracy,ACP ADB FAO ICAO ICCt ICRM IFAD IFRCS IMSO IOC ITUC OPCW PIF Sparteca SPC UNESCO UPU WHO WMO,ck,noun: Cook Islander(s) adjective: Cook Islander,21 14 S 159 46 W
